Tamanho amostra,Heuristica,Tempo,Fáctivel,Resultado
10,Next Product2Buy,0.003256198448823695,True,77.89
10,Next Product Improved,0.0030276860970541598,True,77.89
20,Next Product2Buy,0.006076295228112353,False,198.56
20,Next Product Improved,0.030755629219222116,True,160.0
30,Next Product2Buy,0.0033698392413554074,False,288.7
30,Next Product Improved,0.06756088705459065,True,268.0
40,Next Product2Buy,0.0045833752135893135,False,344.64
40,Next Product Improved,0.09581559832697778,True,331.7
50,Next Product2Buy,0.005373937694486797,False,512.12
50,Next Product Improved,0.11511812283461983,True,351.08
60,Next Product2Buy,0.0038055306553217427,False,647.72
60,Next Product Improved,0.19401888406382756,True,525.18
70,Next Product2Buy,0.004874656667370969,False,603.59
70,Next Product Improved,0.06437730384142804,True,587.34
80,Next Product2Buy,0.006633832545984486,False,750.13
80,Next Product Improved,0.14899743795397347,True,691.34
90,Next Product2Buy,0.0059552698353440015,False,858.67
90,Next Product Improved,0.4278186096028521,True,817.63
100,Next Product2Buy,0.005435476029792552,False,979.55
100,Next Product Improved,0.5572115749506155,True,866.32
150,Next Product2Buy,0.019358319264986212,False,1564.43
150,Next Product Improved,0.9422626825380871,True,1174.53
200,Next Product2Buy,0.01005167168887855,False,1892.22
200,Next Product Improved,1.7893489449252415,True,1755.71
250,Next Product2Buy,0.01577801891688413,False,2380.97
250,Next Product Improved,2.8066231659011986,True,2177.47
300,Next Product2Buy,0.012404897630979406,False,2770.06
300,Next Product Improved,2.0982939522175332,True,2582.17
350,Next Product2Buy,0.026514407149933916,False,2849.85
350,Next Product Improved,5.762539153765838,True,2283.68
400,Next Product2Buy,0.01679463221613986,False,3410.93
400,Next Product Improved,1.6691957554958865,True,3294.54
450,Next Product2Buy,0.02760240491814514,False,4018.38
450,Next Product Improved,2.352718045706574,True,3851.07
500,Next Product2Buy,0.019908882238190984,False,4582.49
500,Next Product Improved,5.189686175002716,True,4332.91
600,Next Product2Buy,0.03331357269010837,False,4854.13
600,Next Product Improved,4.824687949358054,True,4751.4
700,Next Product2Buy,0.0593172116570031,False,6956.49
700,Next Product Improved,29.90000799998359,True,6199.85
800,Next Product2Buy,0.03283152239687581,False,7229.81
800,Next Product Improved,9.035175722716474,True,6956.6
900,Next Product2Buy,0.04797077339328837,False,7763.21
900,Next Product Improved,37.710178235531814,True,7426.42
1000,Next Product2Buy,0.0422674004771153,False,8854.34
1000,Next Product Improved,12.430622706414965,True,8562.5
1200,Next Product2Buy,0.06512848178772401,False,12555.41
1200,Next Product Improved,59.297189133971,True,10765.71
1400,Next Product2Buy,0.09982051318868912,False,14779.6
1400,Next Product Improved,82.95149220206724,True,12196.22
1600,Next Product2Buy,0.11842068016272833,False,15864.73
1600,Next Product Improved,115.92215646737134,True,14447.62
1800,Next Product2Buy,0.14401406356086,False,15075.37
1800,Next Product Improved,29.17166323761387,True,14702.44
2000,Next Product2Buy,0.10475957998039576,False,21092.84
2000,Next Product Improved,178.00257599471593,True,17880.49
