Tamanho amostra;Heuristica;Tempo;Fáctivel;Resultado;Teste;ID CHECKER
1000;Solver method;128.8697795;TRUE;8915.66;1;1000128.8697794957468915.66
1000;Next Product2Buy;0.141278948;FALSE;9095.58;1;10000.1412789476447929095.58
1000;Next Product Improved V2.1;1.948974032;TRUE;8698.83;1;10001.948974032452898698.83
20;Solver method;0.128382969;TRUE;109.58;1;200.1283829688075109.58
20;Next Product2Buy;0.002795072;FALSE;166.99;1;200.00279507233631193166.99
20;Next Product Improved V2.1;0.00923978;TRUE;109.58;1;200.00923977970910527109.58
2500;Solver method;627.5505156;TRUE;22459.34;1;2500627.5505156094122459.34
2500;Next Product2Buy;0.213897495;FALSE;25161.39;1;25000.21389749514253225161.39
2500;Next Product Improved V2.1;18.48559182;TRUE;22459.34;1;250018.48559181851622459.34
3000;Solver method;879.8179798;TRUE;26948.24;1;3000879.81797978587926948.24
3000;Next Product2Buy;0.297214281;FALSE;30737.66;1;30000.29721428149446130737.66
3000;Next Product Improved V2.1;24.00323774;TRUE;26948.24;1;300024.003237738276526948.24
3500;Solver method;1125.792281;TRUE;27089.12;1;35001125.7922813665127089.12
3500;Next Product2Buy;0.220397587;FALSE;28632.71;1;35000.22039758703976928632.71
3500;Next Product Improved V2.1;10.84298857;TRUE;26535.02;1;350010.842988565352226535.02
3500;Solver method;1276.598331;TRUE;30107.46;2;35001276.598330505330107.46
3500;Next Product2Buy;0.242900935;FALSE;29509.54;2;35000.24290093472677629509.54
3500;Next Product Improved V2.1;6.996302775;TRUE;28739.01;2;35006.9963027752980928739.01
10;Solver method;0.091109184;TRUE;78.71;3;100.091109183820826578.71
10;Next Product2Buy;0.005337017;FALSE;93.68;3;100.0053370168828440893.68
10;Next Product Improved V2.1;0.006261323;TRUE;78.71;3;100.0062613230583416578.71
20;Solver method;0.107875515;TRUE;174.87;3;200.107875515281205174.87
20;Next Product2Buy;0.004176403;FALSE;214.04;3;200.00417640340282518214.04
20;Next Product Improved V2.1;0.015461718;TRUE;168.84;3;200.0154617182166675168.84
30;Solver method;0.200144492;TRUE;261.59;3;300.200144492070577261.59
30;Next Product2Buy;0.006158349;FALSE;256.56;3;300.00615834886835053256.56
30;Next Product Improved V2.1;0.012582954;TRUE;248.86;3;300.0125829537100247248.86
40;Solver method;0.281704974;TRUE;356.02;3;400.28170497361235356.02
40;Next Product2Buy;0.005881837;FALSE;404.62;3;400.00588183650160167404.62
40;Next Product Improved V2.1;0.024493088;TRUE;353.76;3;400.0244930880113427353.76
50;Solver method;0.412869887;TRUE;450.07;3;500.412869886572493450.07
50;Next Product2Buy;0.008169012;FALSE;454.54;3;500.00816901223546717454.54
